fold,family,runtime_used,valid_start,valid_end,target,mae,rmse,r2
1,cat,gpu,2022-09-03,2022-11-01,cogs,461100.1412370155,621455.4459380284,0.35150350691790133
2,cat,gpu,2022-11-02,2022-12-31,cogs,415084.88006533624,513032.7815697345,0.33315028732582774
