fold,family,runtime_used,valid_start,valid_end,target,mae,rmse,r2
1,cat,gpu,2022-09-03,2022-11-01,revenue,505201.8614549822,655794.0271838297,0.3941103960679523
2,cat,gpu,2022-11-02,2022-12-31,revenue,428100.28591165226,525651.9397790842,0.2406277325774323
