fold,family,runtime_used,valid_start,valid_end,target,mae,rmse,r2
1,xgb,gpu,2022-09-03,2022-11-01,cogs,439299.4948333334,588949.1870645785,0.417570600611999
2,xgb,gpu,2022-11-02,2022-12-31,cogs,403093.85750000004,495825.07736799854,0.3771338747838838
