fold,family,runtime_used,valid_start,valid_end,target,mae,rmse,r2
1,lgbm,gpu,2022-09-03,2022-11-01,cogs,431381.4446210481,568525.900230106,0.45726460603275587
2,lgbm,gpu,2022-11-02,2022-12-31,cogs,472669.2439619075,558001.1834148366,0.21112539520027962
