fold,family,valid_start,valid_end,target,mae,rmse,r2
1,ensemble_mean,2022-09-03,2022-11-01,cogs,440949.88606750756,586425.1514708998,0.4225520912126236
2,ensemble_mean,2022-11-02,2022-12-31,cogs,426240.14329712716,514684.2620494417,0.3288501260959288
