fold,family,runtime_used,valid_start,valid_end,target,mae,rmse,r2
1,lgbm,gpu,2022-09-03,2022-11-01,revenue,496143.512012833,649393.5853588986,0.4058794481508644
2,lgbm,gpu,2022-11-02,2022-12-31,revenue,449251.89462633716,532420.667877048,0.2209452113044773
