fold,family,valid_start,valid_end,target,mae,rmse,r2
1,ensemble_mean,2022-09-03,2022-11-01,revenue,455723.0258028798,606981.8350724968,0.4809490675472876
2,ensemble_mean,2022-11-02,2022-12-31,revenue,433383.5670524579,517328.118093293,0.26448699217311866
