fold,family,runtime_used,valid_start,valid_end,target,mae,rmse,r2
1,xgb,gpu,2022-09-03,2022-11-01,revenue,469408.11116666667,604991.5047261884,0.4843474857267065
2,xgb,gpu,2022-11-02,2022-12-31,revenue,439637.56766666664,547159.676265414,0.17721501524218697
