iter	RMSE
139	650207.0127
140	649062.28
141	648170.0926
142	647215.8887
143	646089.1192
144	645274.2232
145	644546.719
146	643896.7098
147	643192.8957
148	642672.41
149	641691.9038
150	640715.8378
151	639257.8619
152	638067.0055
153	637200.6519
154	636247.0215
155	635659.517
156	634459.72
157	633803.3789
158	633021.2496
159	631925.4642
160	630879.5968
161	630150.9701
162	629426.8974
163	628608.1142
164	627533.6186
165	626574.643
166	625812.8108
167	625183.5811
168	624205.7508
169	623602.852
170	622342.8602
171	621375.9024
172	620784.6673
173	620062.1638
174	619499.5353
175	618528.9376
176	617880.2866
177	616735.3947
178	615820.9235
179	614727.9833
180	614029.5512
181	613295.4356
182	612449.8013
183	611717.8025
184	610870.7413
185	609570.1065
186	608862.0478
187	608037.1896
188	606950.0725
189	606169.2103
190	605597.8158
191	604876.9914
192	604075.842
193	603353.2878
194	602317.1044
195	601713.7048
196	601311.6443
197	600854.7309
198	600070.8276
199	599466.0868
200	598859.9928
201	598368.57
202	597735.8028
203	597300.4237
204	596742.8025
205	596133.8204
206	595467.0172
207	594354.4251
208	593327.1679
209	592512.3531
210	591696.9874
211	591128.3034
212	590448.196
213	589551.3287
214	588869.3094
215	588244.8894
216	587476.2531
217	586636.7273
218	585776.6568
219	585217.6595
220	584410.9252
221	583651.5935
222	582783.5772
223	582359.4073
224	581778.8444
225	581058.0723
226	580291.2882
227	579968.3802
228	579570.7836
229	578917.5626
230	578708.6024
231	578079.7608
232	577275.3143
233	576417.3522
234	575848.9607
235	575252.5516
236	574704.3633
237	574307.2105
238	573771.294
239	573610.2911
240	573032.1625
241	572149.621
242	571387.1313
243	570571.9086
244	569944.388
245	569316.1757
246	568541.2829
247	568327.2244
248	567834.875
249	567305.9183
250	566884.5689
251	566239.1724
252	565675.9295
253	565008.974
254	564477.6214
255	563984.2451
256	563059.567
257	562341.3705
258	561608.7007
259	560485.893
260	560132.4841
261	559611.3444
262	559333.6435
263	558470.2849
264	557692.8242
265	557213.0079
266	556617.1136
267	555907.8397
268	555297.2202
269	555151.1406
270	554441.2745
271	553977.5533
272	553360.9145
273	552888.116
274	552265.0756
275	551759.3607
276	550962.6812
277	550470.795
278	550039.298
279	549202.492
280	548662.8339
281	547907.5235
282	547397.0031
283	546994.2333
284	546567.4439
285	545754.1254
286	545242.8609
287	544759.2947
288	544077.1436
289	543616.3276
290	542912.9858
291	542304.7076
292	541664.782
293	541238.4073
294	540988.2801
295	540705.7679
296	539870.0454
297	539380.9863
298	539161.8165
299	538678.6027
300	538195.963
301	537723.3097
302	537190.1318
303	536392.9029
304	535530.7718
305	534938.3553
306	534153.6658
307	533462.9878
308	532789.3753
309	532093.4667
310	531503.0752
311	531154.8945
312	530599.965
313	530072.0207
314	529456.9853
315	529010.4328
316	528465.183
317	528017.5222
318	527220.4406
319	526888.3851
320	526380.8956
321	525755.3852
322	525549.6043
323	524741.3508
324	524287.5759
325	523483.4898
326	522920.6575
327	522250.2206
328	521880.9734
329	521306.6529
330	520896.2241
331	520297.2805
332	519416.6697
333	519097.697
334	518573.2028
335	518274.1998
336	517829.5448
337	517178.4742
338	516670.725
339	515816.3543
340	515283.4978
341	514766.9344
342	514327.5125
343	513746.7041
344	513127.8382
345	512698.3905
346	512195.038
347	511726.6968
348	511222.3354
349	510827.9167
350	510513.577
351	509815.2244
352	509447.9447
353	508919.2372
354	508513.1162
355	507981.0548
356	507495.8048
357	507009.7572
358	506580.5652
359	506196.3391
360	505465.2268
361	505151.74
362	504626.691
363	503971.8164
364	503622.3312
365	503026.8995
366	502626.8992
367	502265.5358
368	501763.3089
369	501332.925
370	500834.6105
371	500519.9826
372	500238.2074
373	499638.7606
374	499418.3011
375	499023.624
376	498716.6092
377	498107.172
378	497851.8809
379	497630.5226
380	497238.3791
381	496612.157
382	496034.7199
383	495613.5731
384	494954.2299
385	494617.4861
386	494325.456
387	493914.3396
388	493435.208
389	492932.4097
390	492576.0309
391	491641.0304
392	491173.7318
393	490645.1802
394	490247.1771
395	489726.6145
396	489205.3344
397	488743.6406
398	488428.1249
399	488178.065
